"STUDENT_ID","GRAD_APPL_DATE","GRADUATION_DATE","GRADUATED_IND","TOTAL_CREDITS","DEGREE_TYPE","MAJOR","DEPARTMENT","COLLEGE","REQUIRED_HOURS","FULLY_ONLINE_IND","AID_ELIGIBLE_IND","HONORS","OVERALL_GPA"
5748199,08-JAN-18  12:31 PM,06-MAY-21  12:00 AM,"N",28,"Associates","Auto Collision Repair/Refinish","Automotive Collision Repair","Applied Tech &Tech Specialties",64,"N","N","",2.939
1372723,15-MAY-17  10:40 AM,06-MAY-21  12:00 AM,"N",3,"Associates","Business","Business Management","Business",61,"N","N","",0.14
2583023,15-DEC-16  03:09 PM,06-MAY-21  12:00 AM,"N",92,"Certificate","Aviation Dispatch","Unknown","Unknown",33,"U","U","",3.458
2686770,12-DEC-16  01:13 PM,06-MAY-21  12:00 AM,"N",18,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",2.388
4052351,22-NOV-16  01:31 PM,06-MAY-21  12:00 AM,"N",60,"Associates","Engineering/Mechanical","Unknown","Unknown",73,"U","U","",3.25
4860340,12-DEC-16  02:48 PM,06-MAY-21  12:00 AM,"N",73,"Associates","Aero/Avait - Prof Pilot Fixed","Unknown","Unknown",64,"U","U","",3.588
4902543,16-DEC-16  02:42 PM,06-MAY-21  12:00 AM,"N",3,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",2
5506832,10-JAN-18  11:30 AM,06-MAY-21  12:00 AM,"N",13,"Associates","Pre-Health Sciences","Unknown","Unknown",61,"U","U","",3.608
5920511,31-AUG-17  12:54 PM,06-MAY-21  12:00 AM,"N",32,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",3.22
6020023,08-NOV-17  09:20 AM,06-MAY-21  12:00 AM,"N",14,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",3.657
6054701,19-DEC-16  01:14 PM,06-MAY-21  12:00 AM,"N",20,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",1.606
,08-JAN-18  01:35 PM,06-MAY-21  12:00 AM,"N",0,"Associates","Business","Business Management","Business",61,"N","N","",0
2168287,08-AUG-17  11:14 AM,06-MAY-21  12:00 AM,"N",45,"Associates","Mathematics","Mathematics","Science, Math & Engineering",63,"N","N","",3.787
4495437,09-JUN-17  09:13 AM,06-MAY-21  12:00 AM,"N",62,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",3.174
4625770,14-AUG-19  05:17 PM,06-MAY-21  12:00 AM,"N",89,"Associates","Political Science","Political Science","Humanities & Social Sciences",61,"N","N","",3.664
4625770,19-APR-17  09:17 AM,06-MAY-21  12:00 AM,"N",89,"Associates","Business","Business Management","Business",61,"N","N","",3.664
5566451,13-DEC-17  10:07 AM,06-MAY-21  12:00 AM,"N",46,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",3.457
5675322,12-MAY-17  09:32 AM,06-MAY-21  12:00 AM,"N",18,"Associates","Visual Arts- Animation","Visual Arts & Design","Arts, Comm, & New Media",64,"N","N","",2.063
5979598,02-JAN-18  11:45 AM,06-MAY-21  12:00 AM,"N",46,"Associates","Pre-Health Sciences","Unknown","Unknown",61,"U","U","",3.267
5979598,03-AUG-20  01:16 PM,06-MAY-21  12:00 AM,"N",46,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",3.267
,30-NOV-16  03:25 PM,06-MAY-21  12:00 AM,"N",0,"Associates","History","History and Anthropology","Humanities & Social Sciences",63,"N","N","",0
4685991,22-MAR-18  03:36 PM,06-MAY-21  12:00 AM,"N",84,"Associates","Pre-Health Sciences","Unknown","Unknown",61,"U","U","",3.852
5997147,29-NOV-16  04:44 PM,06-MAY-21  12:00 AM,"N",69,"Associates","Business","Business Management","Business",61,"N","N","",2.942
6038993,04-JUN-18  03:52 PM,06-MAY-21  12:00 AM,"N",66,"Associates","Pre-Health Sciences","Unknown","Unknown",61,"U","U","",3.973
6038993,04-JUN-18  03:53 PM,06-MAY-21  12:00 AM,"N",66,"Associates","Pre-Medical Health Sciences","Biology","Science, Math & Engineering",,"N","N","",3.973
4407083,30-NOV-16  11:42 AM,06-MAY-21  12:00 AM,"N",7,"Associates","Pre-Health Sciences","Unknown","Unknown",61,"U","U","",4
4766456,10-NOV-17  09:42 AM,06-MAY-21  12:00 AM,"N",56,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",2.949
5686536,27-AUG-20  03:15 PM,06-MAY-21  12:00 AM,"N",73,"Associates","Visual Arts Illustration Spec","Visual Arts & Design","Arts, Comm, & New Media",68,"N","N","",3.097
5686536,03-NOV-17  03:17 PM,06-MAY-21  12:00 AM,"N",73,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",3.097
5686536,26-MAR-18  11:50 AM,06-MAY-21  12:00 AM,"N",73,"Associates","Visual Arts - Design Spec.","Visual Arts & Design","Arts, Comm, & New Media",69,"N","N","",3.097
5695139,16-JAN-18  12:05 PM,06-MAY-21  12:00 AM,"N",7,"Associates","Business","Business Management","Business",62,"N","N","",1.86
3556765,29-NOV-16  12:48 PM,06-MAY-21  12:00 AM,"N",28,"Associates","Sociology","Sociology","Humanities & Social Sciences",61,"N","N","",1.983
3556765,05-DEC-16  11:49 AM,06-MAY-21  12:00 AM,"N",28,"Associates","Fashion Design","Fashion Institute","Arts, Comm, & New Media",68,"N","N","",1.983
5208912,05-DEC-16  01:28 PM,06-MAY-21  12:00 AM,"N",45,"Certificate","Writing","Unknown","Unknown",33,"U","U","",3.847
4451218,29-AUG-17  09:24 AM,06-MAY-21  12:00 AM,"N",68,"Associates","Pre-Health Sciences","Unknown","Unknown",61,"U","U","",3.421
4499350,31-JUL-17  01:16 PM,06-MAY-21  12:00 AM,"N",34,"Associates","Pre-Health Sciences","Unknown","Unknown",61,"U","U","",2.815
4822092,13-DEC-16  03:02 PM,06-MAY-21  12:00 AM,"N",30,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",3.41
5006766,08-DEC-17  03:17 PM,06-MAY-21  12:00 AM,"N",62,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",3.985
